,Crash_Year,Crash_Police_Region,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_RoadUserType,Casualty_Count
1076,2004,Brisbane,Hospitalised,30 to 39,Female,Motorcyclist,6
1663,2004,Brisbane,Minor injury,30 to 39,Female,Pedestrian,3
1665,2004,Brisbane,Hospitalised,30 to 39,Male,Pedestrian,8
2870,2004,Brisbane,Minor injury,30 to 39,Male,Driver,125
3851,2004,Brisbane,Hospitalised,30 to 39,Male,Bicyclist,23
3852,2004,Brisbane,Minor injury,30 to 39,Male,Motorcyclist,28
5387,2004,Brisbane,Minor injury,30 to 39,Female,Motorcyclist,1
5691,2004,Brisbane,Hospitalised,30 to 39,Female,Driver,80
5699,2004,Brisbane,Medically treated,30 to 39,Male,Bicyclist,22
5701,2004,Brisbane,Hospitalised,30 to 39,Male,Driver,90
6367,2004,Brisbane,Medically treated,30 to 39,Female,Motorcyclist,7
6371,2004,Brisbane,Hospitalised,30 to 39,Female,Bicyclist,4
8480,2004,Brisbane,Minor injury,30 to 39,Female,Driver,127
8495,2004,Brisbane,Medically treated,30 to 39,Female,Driver,201
8500,2004,Brisbane,Medically treated,30 to 39,Female,Passenger,45
9645,2004,Brisbane,Medically treated,30 to 39,Male,Pedestrian,8
11333,2004,Brisbane,Medically treated,30 to 39,Male,Motorcyclist,41
11377,2004,Brisbane,Minor injury,30 to 39,Female,Passenger,25
11975,2004,Brisbane,Medically treated,30 to 39,Female,Bicyclist,3
14173,2004,Brisbane,Minor injury,30 to 39,Male,Bicyclist,11
14816,2004,Brisbane,Hospitalised,30 to 39,Male,Motorcyclist,49
15322,2004,Brisbane,Fatality,30 to 39,Male,Driver,2
16951,2004,Brisbane,Medically treated,30 to 39,Male,Driver,166
16983,2004,Brisbane,Medically treated,30 to 39,Female,Pedestrian,5
17634,2004,Brisbane,Hospitalised,30 to 39,Female,Pedestrian,9
18260,2004,Brisbane,Fatality,30 to 39,Male,Motorcyclist,1
18670,2004,Brisbane,Medically treated,30 to 39,Male,Passenger,19
20669,2004,Brisbane,Minor injury,30 to 39,Male,Passenger,21
20858,2004,Brisbane,Hospitalised,30 to 39,Male,Passenger,6
21011,2004,Brisbane,Minor injury,30 to 39,Female,Bicyclist,2
21280,2004,Brisbane,Minor injury,30 to 39,Male,Pedestrian,6
21991,2004,Brisbane,Fatality,30 to 39,Male,Pedestrian,2
1431,2004,Brisbane,Medically treated,40 to 49,Male,Passenger,17
2021,2004,Brisbane,Medically treated,40 to 49,Female,Motorcyclist,2
2390,2004,Brisbane,Fatality,40 to 49,Male,Driver,1
2888,2004,Brisbane,Hospitalised,40 to 49,Female,Passenger,14
2889,2004,Brisbane,Minor injury,40 to 49,Female,Driver,117
2892,2004,Brisbane,Medically treated,40 to 49,Male,Driver,114
2910,2004,Brisbane,Medically treated,40 to 49,Male,Motorcyclist,26
3520,2004,Brisbane,Hospitalised,40 to 49,Female,Driver,81
4071,2004,Brisbane,Minor injury,40 to 49,Female,Passenger,24
4374,2004,Brisbane,Hospitalised,40 to 49,Male,Passenger,7
4630,2004,Brisbane,Medically treated,40 to 49,Male,Bicyclist,13
6363,2004,Brisbane,Fatality,40 to 49,Female,Passenger,1
6364,2004,Brisbane,Hospitalised,40 to 49,Female,Motorcyclist,2
7250,2004,Brisbane,Minor injury,40 to 49,Female,Motorcyclist,1
7448,2004,Brisbane,Minor injury,40 to 49,Male,Bicyclist,6
8485,2004,Brisbane,Hospitalised,40 to 49,Male,Driver,63
9933,2004,Brisbane,Hospitalised,40 to 49,Male,Bicyclist,8
10151,2004,Brisbane,Medically treated,40 to 49,Female,Pedestrian,5
10756,2004,Brisbane,Fatality,40 to 49,Female,Pedestrian,1
10933,2004,Brisbane,Fatality,40 to 49,Female,Driver,1
12496,2004,Brisbane,Minor injury,40 to 49,Male,Passenger,7
12499,2004,Brisbane,Hospitalised,40 to 49,Female,Pedestrian,8
14166,2004,Brisbane,Medically treated,40 to 49,Female,Driver,156
15483,2004,Brisbane,Minor injury,40 to 49,Female,Bicyclist,1
16214,2004,Brisbane,Minor injury,40 to 49,Female,Pedestrian,4
16686,2004,Brisbane,Fatality,40 to 49,Male,Motorcyclist,1
16955,2004,Brisbane,Minor injury,40 to 49,Male,Driver,83
16981,2004,Brisbane,Minor injury,40 to 49,Male,Motorcyclist,16
16986,2004,Brisbane,Medically treated,40 to 49,Female,Passenger,45
16988,2004,Brisbane,Hospitalised,40 to 49,Male,Motorcyclist,41
17629,2004,Brisbane,Hospitalised,40 to 49,Female,Bicyclist,2
19744,2004,Brisbane,Hospitalised,40 to 49,Male,Pedestrian,11
20863,2004,Brisbane,Medically treated,40 to 49,Male,Pedestrian,9
21446,2004,Brisbane,Minor injury,40 to 49,Male,Pedestrian,7
22230,2004,Brisbane,Medically treated,40 to 49,Female,Bicyclist,1
124,2004,Brisbane,Medically treated,50 to 59,Female,Driver,91
2198,2004,Brisbane,Minor injury,50 to 59,Male,Motorcyclist,4
2570,2004,Brisbane,Fatality,50 to 59,Female,Driver,2
2594,2004,Brisbane,Hospitalised,50 to 59,Female,Motorcyclist,1
2882,2004,Brisbane,Hospitalised,50 to 59,Male,Pedestrian,9
2891,2004,Brisbane,Minor injury,50 to 59,Male,Passenger,5
2903,2004,Brisbane,Medically treated,50 to 59,Male,Passenger,10
2908,2004,Brisbane,Hospitalised,50 to 59,Female,Driver,45
4829,2004,Brisbane,Fatality,50 to 59,Female,Passenger,1
5706,2004,Brisbane,Minor injury,50 to 59,Female,Driver,58
5727,2004,Brisbane,Hospitalised,50 to 59,Male,Driver,59
6368,2004,Brisbane,Medically treated,50 to 59,Male,Pedestrian,5
6862,2004,Brisbane,Hospitalised,50 to 59,Female,Pedestrian,3
7627,2004,Brisbane,Medically treated,50 to 59,Male,Bicyclist,10
8516,2004,Brisbane,Medically treated,50 to 59,Male,Driver,88
9431,2004,Brisbane,Minor injury,50 to 59,Female,Passenger,21
9812,2004,Brisbane,Hospitalised,50 to 59,Male,Passenger,7
9813,2004,Brisbane,Hospitalised,50 to 59,Male,Bicyclist,10
9816,2004,Brisbane,Minor injury,50 to 59,Male,Pedestrian,4
10631,2004,Brisbane,Fatality,50 to 59,Male,Motorcyclist,2
11332,2004,Brisbane,Minor injury,50 to 59,Male,Driver,54
13660,2004,Brisbane,Medically treated,50 to 59,Female,Motorcyclist,1
14171,2004,Brisbane,Hospitalised,50 to 59,Male,Motorcyclist,15
14811,2004,Brisbane,Hospitalised,50 to 59,Female,Passenger,17
15481,2004,Brisbane,Medically treated,50 to 59,Female,Pedestrian,2
15486,2004,Brisbane,Medically treated,50 to 59,Male,Motorcyclist,10
16558,2004,Brisbane,Fatality,50 to 59,Male,Bicyclist,1
16638,2004,Brisbane,Fatality,50 to 59,Female,Bicyclist,1
17625,2004,Brisbane,Medically treated,50 to 59,Female,Passenger,37
17633,2004,Brisbane,Minor injury,50 to 59,Female,Pedestrian,4
19059,2004,Brisbane,Medically treated,50 to 59,Female,Bicyclist,1
19710,2004,Brisbane,Minor injury,50 to 59,Male,Bicyclist,5
757,2004,Brisbane,Hospitalised,60 to 74,Male,Passenger,6
758,2004,Brisbane,Minor injury,60 to 74,Male,Passenger,6
759,2004,Brisbane,Medically treated,60 to 74,Male,Passenger,7
2028,2004,Brisbane,Minor injury,60 to 74,Male,Bicyclist,1
3540,2004,Brisbane,Minor injury,60 to 74,Female,Driver,27
4376,2004,Brisbane,Medically treated,60 to 74,Male,Pedestrian,4
4465,2004,Brisbane,Fatality,60 to 74,Male,Driver,1
6379,2004,Brisbane,Medically treated,60 to 74,Female,Passenger,25
8493,2004,Brisbane,Medically treated,60 to 74,Male,Driver,53
11364,2004,Brisbane,Hospitalised,60 to 74,Male,Driver,31
11369,2004,Brisbane,Minor injury,60 to 74,Male,Driver,36
11967,2004,Brisbane,Hospitalised,60 to 74,Female,Driver,30
14818,2004,Brisbane,Hospitalised,60 to 74,Male,Pedestrian,13
16256,2004,Brisbane,Medically treated,60 to 74,Male,Motorcyclist,2
16973,2004,Brisbane,Hospitalised,60 to 74,Female,Passenger,16
18671,2004,Brisbane,Hospitalised,60 to 74,Male,Motorcyclist,5
19339,2004,Brisbane,Medically treated,60 to 74,Female,Bicyclist,1
19694,2004,Brisbane,Medically treated,60 to 74,Female,Driver,53
19712,2004,Brisbane,Medically treated,60 to 74,Female,Pedestrian,1
19717,2004,Brisbane,Minor injury,60 to 74,Female,Passenger,18
20666,2004,Brisbane,Medically treated,60 to 74,Male,Bicyclist,5
21148,2004,Brisbane,Hospitalised,60 to 74,Male,Bicyclist,2
21283,2004,Brisbane,Hospitalised,60 to 74,Female,Pedestrian,3
21594,2004,Brisbane,Minor injury,60 to 74,Male,Pedestrian,2
22277,2004,Brisbane,Minor injury,60 to 74,Male,Motorcyclist,1
1433,2004,Brisbane,Minor injury,75 and over,Male,Passenger,5
1566,2004,Brisbane,Minor injury,75 and over,Male,Driver,10
1568,2004,Brisbane,Hospitalised,75 and over,Male,Pedestrian,6
2024,2004,Brisbane,Medically treated,75 and over,Male,Pedestrian,1
2420,2004,Brisbane,Fatality,75 and over,Male,Passenger,2
3522,2004,Brisbane,Medically treated,75 and over,Male,Motorcyclist,1
3536,2004,Brisbane,Hospitalised,75 and over,Female,Pedestrian,10
6865,2004,Brisbane,Minor injury,75 and over,Female,Driver,7
7017,2004,Brisbane,Medically treated,75 and over,Female,Driver,10
7356,2004,Brisbane,Medically treated,75 and over,Female,Passenger,9
7735,2004,Brisbane,Hospitalised,75 and over,Female,Bicyclist,1
9106,2004,Brisbane,Hospitalised,75 and over,Male,Passenger,2
12497,2004,Brisbane,Hospitalised,75 and over,Male,Bicyclist,1
14007,2004,Brisbane,Fatality,75 and over,Male,Bicyclist,1
14033,2004,Brisbane,Fatality,75 and over,Female,Driver,1
15127,2004,Brisbane,Hospitalised,75 and over,Female,Driver,20
15480,2004,Brisbane,Medically treated,75 and over,Male,Bicyclist,1
15485,2004,Brisbane,Medically treated,75 and over,Male,Passenger,3
15615,2004,Brisbane,Fatality,75 and over,Female,Passenger,2
15623,2004,Brisbane,Fatality,75 and over,Male,Driver,3
16967,2004,Brisbane,Medically treated,75 and over,Male,Driver,12
16976,2004,Brisbane,Hospitalised,75 and over,Male,Driver,20
18509,2004,Brisbane,Minor injury,75 and over,Female,Passenger,8
19732,2004,Brisbane,Hospitalised,75 and over,Female,Passenger,14
21696,2004,Brisbane,Fatality,75 and over,Male,Pedestrian,3
2162,2004,Brisbane,Medically treated,Unknown,Female,Passenger,15
2619,2004,Brisbane,Minor injury,Unknown,Male,Bicyclist,5
2718,2004,Brisbane,Minor injury,Unknown,Female,Pedestrian,5
5508,2004,Brisbane,Hospitalised,Unknown,Unknown,Passenger,1
7683,2004,Brisbane,Minor injury,Unknown,Male,Passenger,1
9095,2004,Brisbane,Medically treated,Unknown,Male,Pedestrian,2
11074,2004,Brisbane,Minor injury,Unknown,Male,Pedestrian,4
11097,2004,Brisbane,Medically treated,Unknown,Male,Driver,1
11100,2004,Brisbane,Hospitalised,Unknown,Male,Pedestrian,1
11127,2004,Brisbane,Minor injury,Unknown,Unknown,Pedestrian,1
13977,2004,Brisbane,Minor injury,Unknown,Unknown,Passenger,8
13995,2004,Brisbane,Minor injury,Unknown,Unknown,Bicyclist,2
16099,2004,Brisbane,Medically treated,Unknown,Female,Driver,1
16727,2004,Brisbane,Minor injury,Unknown,Male,Motorcyclist,1
16763,2004,Brisbane,Medically treated,Unknown,Unknown,Passenger,8
16989,2004,Brisbane,Minor injury,Unknown,Female,Passenger,7
18109,2004,Brisbane,Medically treated,Unknown,Male,Passenger,9
21380,2004,Brisbane,Hospitalised,Unknown,Female,Passenger,9
774,2005,Brisbane,Hospitalised,0 to 16,Female,Pedestrian,10
784,2005,Brisbane,Medically treated,0 to 16,Male,Bicyclist,14
1086,2005,Brisbane,Hospitalised,0 to 16,Male,Pedestrian,15
1573,2005,Brisbane,Hospitalised,0 to 16,Male,Bicyclist,13
2299,2005,Brisbane,Fatality,0 to 16,Male,Bicyclist,1
2547,2005,Brisbane,Minor injury,0 to 16,Female,Driver,1
2550,2005,Brisbane,Minor injury,0 to 16,Male,Driver,1
2920,2005,Brisbane,Medically treated,0 to 16,Female,Passenger,86
2929,2005,Brisbane,Medically treated,0 to 16,Male,Passenger,67
5823,2005,Brisbane,Hospitalised,0 to 16,Female,Passenger,39
6393,2005,Brisbane,Medically treated,0 to 16,Female,Pedestrian,4
7261,2005,Brisbane,Minor injury,0 to 16,Female,Bicyclist,3
7377,2005,Brisbane,Minor injury,0 to 16,Female,Pedestrian,4
8517,2005,Brisbane,Minor injury,0 to 16,Female,Passenger,41
11399,2005,Brisbane,Minor injury,0 to 16,Male,Passenger,39
11978,2005,Brisbane,Hospitalised,0 to 16,Female,Bicyclist,3
12306,2005,Brisbane,Medically treated,0 to 16,Female,Motorcyclist,1
13358,2005,Brisbane,Medically treated,0 to 16,Female,Bicyclist,3
13494,2005,Brisbane,Medically treated,0 to 16,Female,Driver,2
13723,2005,Brisbane,Minor injury,0 to 16,Male,Pedestrian,1
14217,2005,Brisbane,Minor injury,0 to 16,Male,Bicyclist,10
16160,2005,Brisbane,Medically treated,0 to 16,Male,Driver,1
16259,2005,Brisbane,Hospitalised,0 to 16,Male,Motorcyclist,2
17935,2005,Brisbane,Medically treated,0 to 16,Male,Pedestrian,17
20353,2005,Brisbane,Hospitalised,0 to 16,Male,Driver,4
20364,2005,Brisbane,Hospitalised,0 to 16,Male,Passenger,36
21996,2005,Brisbane,Hospitalised,0 to 16,Female,Driver,1
170,2005,Brisbane,Minor injury,17 to 24,Male,Driver,138
180,2005,Brisbane,Hospitalised,17 to 24,Male,Motorcyclist,60
182,2005,Brisbane,Hospitalised,17 to 24,Male,Passenger,45
783,2005,Brisbane,Hospitalised,17 to 24,Male,Pedestrian,22
1088,2005,Brisbane,Medically treated,17 to 24,Male,Bicyclist,10
1440,2005,Brisbane,Hospitalised,17 to 24,Female,Motorcyclist,8
2915,2005,Brisbane,Hospitalised,17 to 24,Female,Passenger,72
2928,2005,Brisbane,Hospitalised,17 to 24,Male,Driver,143
2937,2005,Brisbane,Medically treated,17 to 24,Male,Motorcyclist,48
3544,2005,Brisbane,Fatality,17 to 24,Male,Motorcyclist,4
5720,2005,Brisbane,Medically treated,17 to 24,Female,Passenger,110
8523,2005,Brisbane,Hospitalised,17 to 24,Female,Driver,125
8526,2005,Brisbane,Medically treated,17 to 24,Male,Passenger,71
9936,2005,Brisbane,Fatality,17 to 24,Male,Driver,3
9937,2005,Brisbane,Medically treated,17 to 24,Male,Pedestrian,14
9941,2005,Brisbane,Minor injury,17 to 24,Female,Motorcyclist,3
11375,2005,Brisbane,Medically treated,17 to 24,Female,Driver,237
11378,2005,Brisbane,Minor injury,17 to 24,Male,Passenger,45
12292,2005,Brisbane,Medically treated,17 to 24,Female,Pedestrian,9
12645,2005,Brisbane,Minor injury,17 to 24,Female,Pedestrian,7
13297,2005,Brisbane,Hospitalised,17 to 24,Female,Bicyclist,5
14216,2005,Brisbane,Minor injury,17 to 24,Female,Passenger,50
14235,2005,Brisbane,Hospitalised,17 to 24,Female,Pedestrian,18
15140,2005,Brisbane,Minor injury,17 to 24,Male,Bicyclist,7
15338,2005,Brisbane,Fatality,17 to 24,Female,Pedestrian,1
16026,2005,Brisbane,Fatality,17 to 24,Male,Passenger,4
16990,2005,Brisbane,Medically treated,17 to 24,Male,Driver,186
19290,2005,Brisbane,Medically treated,17 to 24,Female,Bicyclist,5
19745,2005,Brisbane,Minor injury,17 to 24,Female,Driver,131
19754,2005,Brisbane,Medically treated,17 to 24,Female,Motorcyclist,8
20688,2005,Brisbane,Minor injury,17 to 24,Male,Motorcyclist,19
21154,2005,Brisbane,Hospitalised,17 to 24,Male,Bicyclist,11
21383,2005,Brisbane,Minor injury,17 to 24,Male,Pedestrian,8
21958,2005,Brisbane,Minor injury,17 to 24,Female,Bicyclist,2
186,2005,Brisbane,Hospitalised,25 to 29,Male,Passenger,9
269,2005,Brisbane,Hospitalised,25 to 29,Male,Motorcyclist,43
1112,2005,Brisbane,Hospitalised,25 to 29,Male,Bicyclist,7
1276,2005,Brisbane,Fatality,25 to 29,Male,Pedestrian,3
2252,2005,Brisbane,Fatality,25 to 29,Male,Driver,2
4564,2005,Brisbane,Minor injury,25 to 29,Female,Pedestrian,3
5754,2005,Brisbane,Hospitalised,25 to 29,Female,Driver,52
6877,2005,Brisbane,Medically treated,25 to 29,Male,Passenger,15
7259,2005,Brisbane,Hospitalised,25 to 29,Female,Pedestrian,3
8512,2005,Brisbane,Hospitalised,25 to 29,Male,Driver,57
8522,2005,Brisbane,Medically treated,25 to 29,Male,Driver,100
8542,2005,Brisbane,Minor injury,25 to 29,Male,Bicyclist,5
9107,2005,Brisbane,Fatality,25 to 29,Male,Motorcyclist,4
9436,2005,Brisbane,Medically treated,25 to 29,Female,Motorcyclist,4
9439,2005,Brisbane,Medically treated,25 to 29,Male,Bicyclist,12
9441,2005,Brisbane,Medically treated,25 to 29,Female,Passenger,33
11380,2005,Brisbane,Medically treated,25 to 29,Female,Driver,121
11387,2005,Brisbane,Minor injury,25 to 29,Female,Driver,70
11391,2005,Brisbane,Minor injury,25 to 29,Male,Motorcyclist,13
14215,2005,Brisbane,Minor injury,25 to 29,Male,Driver,75
15332,2005,Brisbane,Hospitalised,25 to 29,Female,Motorcyclist,3
15340,2005,Brisbane,Minor injury,25 to 29,Male,Passenger,13
16257,2005,Brisbane,Minor injury,25 to 29,Female,Motorcyclist,1
17015,2005,Brisbane,Hospitalised,25 to 29,Female,Bicyclist,4
17041,2005,Brisbane,Medically treated,25 to 29,Male,Pedestrian,5
17652,2005,Brisbane,Minor injury,25 to 29,Female,Passenger,16
18613,2005,Brisbane,Minor injury,25 to 29,Male,Pedestrian,3
19289,2005,Brisbane,Medically treated,25 to 29,Female,Bicyclist,3
19856,2005,Brisbane,Medically treated,25 to 29,Male,Motorcyclist,25
20681,2005,Brisbane,Hospitalised,25 to 29,Female,Passenger,16
21017,2005,Brisbane,Medically treated,25 to 29,Female,Pedestrian,6
21018,2005,Brisbane,Hospitalised,25 to 29,Male,Pedestrian,14
21285,2005,Brisbane,Fatality,25 to 29,Female,Motorcyclist,1
158,2005,Brisbane,Hospitalised,30 to 39,Female,Driver,78
169,2005,Brisbane,Hospitalised,30 to 39,Male,Motorcyclist,65
780,2005,Brisbane,Medically treated,30 to 39,Male,Passenger,28
1111,2005,Brisbane,Hospitalised,30 to 39,Female,Bicyclist,3
1283,2005,Brisbane,Medically treated,30 to 39,Male,Pedestrian,6
2599,2005,Brisbane,Fatality,30 to 39,Female,Pedestrian,1
2740,2005,Brisbane,Minor injury,30 to 39,Male,Bicyclist,15
2955,2005,Brisbane,Hospitalised,30 to 39,Female,Passenger,24
3552,2005,Brisbane,Hospitalised,30 to 39,Female,Pedestrian,8
4562,2005,Brisbane,Minor injury,30 to 39,Male,Pedestrian,7
5747,2005,Brisbane,Hospitalised,30 to 39,Male,Driver,95
5752,2005,Brisbane,Medically treated,30 to 39,Male,Motorcyclist,47
6680,2005,Brisbane,Fatality,30 to 39,Male,Motorcyclist,4
6874,2005,Brisbane,Minor injury,30 to 39,Female,Pedestrian,6
7258,2005,Brisbane,Hospitalised,30 to 39,Female,Motorcyclist,6
8515,2005,Brisbane,Medically treated,30 to 39,Female,Passenger,49
8562,2005,Brisbane,Hospitalised,30 to 39,Male,Pedestrian,8
9109,2005,Brisbane,Hospitalised,30 to 39,Male,Passenger,21
10636,2005,Brisbane,Medically treated,30 to 39,Female,Motorcyclist,6
11064,2005,Brisbane,Minor injury,30 to 39,Female,Bicyclist,1
11384,2005,Brisbane,Minor injury,30 to 39,Male,Driver,120
11504,2005,Brisbane,Minor injury,30 to 39,Female,Passenger,18
11985,2005,Brisbane,Hospitalised,30 to 39,Male,Bicyclist,17
13107,2005,Brisbane,Medically treated,30 to 39,Unknown,Passenger,1
13245,2005,Brisbane,Minor injury,30 to 39,Female,Motorcyclist,3
13791,2005,Brisbane,Fatality,30 to 39,Male,Driver,4
14214,2005,Brisbane,Minor injury,30 to 39,Male,Motorcyclist,26
14253,2005,Brisbane,Medically treated,30 to 39,Male,Bicyclist,19
15825,2005,Brisbane,Medically treated,30 to 39,Female,Bicyclist,8
17006,2005,Brisbane,Minor injury,30 to 39,Female,Driver,103
17701,2005,Brisbane,Minor injury,30 to 39,Male,Passenger,26
19749,2005,Brisbane,Medically treated,30 to 39,Female,Driver,207
19751,2005,Brisbane,Medically treated,30 to 39,Male,Driver,156
19765,2005,Brisbane,Medically treated,30 to 39,Female,Pedestrian,4
181,2005,Brisbane,Medically treated,40 to 49,Male,Bicyclist,17
782,2005,Brisbane,Minor injury,40 to 49,Female,Passenger,27
1909,2005,Brisbane,Minor injury,40 to 49,Female,Pedestrian,3
2082,2005,Brisbane,Fatality,40 to 49,Male,Bicyclist,1
2934,2005,Brisbane,Minor injury,40 to 49,Female,Driver,84
2976,2005,Brisbane,Hospitalised,40 to 49,Female,Passenger,27
4258,2005,Brisbane,Minor injury,40 to 49,Male,Pedestrian,4
4781,2005,Brisbane,Medically treated,40 to 49,Unknown,Passenger,2
5409,2005,Brisbane,Fatality,40 to 49,Male,Driver,1
6384,2005,Brisbane,Medically treated,40 to 49,Male,Driver,107
7026,2005,Brisbane,Medically treated,40 to 49,Female,Motorcyclist,6
8532,2005,Brisbane,Hospitalised,40 to 49,Male,Bicyclist,12
8539,2005,Brisbane,Minor injury,40 to 49,Male,Passenger,10
8631,2005,Brisbane,Medically treated,40 to 49,Female,Passenger,33
9113,2005,Brisbane,Hospitalised,40 to 49,Female,Driver,74
10386,2005,Brisbane,Hospitalised,40 to 49,Female,Motorcyclist,5
10937,2005,Brisbane,Minor injury,40 to 49,Female,Bicyclist,1
11374,2005,Brisbane,Hospitalised,40 to 49,Male,Motorcyclist,44
11382,2005,Brisbane,Medically treated,40 to 49,Female,Driver,154
11385,2005,Brisbane,Hospitalised,40 to 49,Male,Driver,71
11397,2005,Brisbane,Medically treated,40 to 49,Male,Passenger,12
12008,2005,Brisbane,Medically treated,40 to 49,Female,Pedestrian,5
12525,2005,Brisbane,Hospitalised,40 to 49,Male,Pedestrian,15
13543,2005,Brisbane,Minor injury,40 to 49,Female,Motorcyclist,3
14318,2005,Brisbane,Minor injury,40 to 49,Male,Motorcyclist,21
15887,2005,Brisbane,Minor injury,40 to 49,Male,Bicyclist,11
15890,2005,Brisbane,Fatality,40 to 49,Female,Driver,1
17013,2005,Brisbane,Medically treated,40 to 49,Male,Motorcyclist,28
18116,2005,Brisbane,Medically treated,40 to 49,Female,Bicyclist,3
18674,2005,Brisbane,Hospitalised,40 to 49,Female,Pedestrian,7
19368,2005,Brisbane,Fatality,40 to 49,Male,Motorcyclist,2
19759,2005,Brisbane,Minor injury,40 to 49,Male,Driver,72
20687,2005,Brisbane,Hospitalised,40 to 49,Female,Bicyclist,1
20871,2005,Brisbane,Medically treated,40 to 49,Male,Pedestrian,8
21449,2005,Brisbane,Hospitalised,40 to 49,Male,Passenger,9
184,2005,Brisbane,Hospitalised,50 to 59,Female,Driver,66
1278,2005,Brisbane,Medically treated,50 to 59,Female,Pedestrian,7
2253,2005,Brisbane,Medically treated,50 to 59,Male,Pedestrian,6
2924,2005,Brisbane,Minor injury,50 to 59,Female,Driver,56
2944,2005,Brisbane,Hospitalised,50 to 59,Male,Driver,56
2947,2005,Brisbane,Medically treated,50 to 59,Unknown,Passenger,3
4081,2005,Brisbane,Medically treated,50 to 59,Male,Passenger,11
4984,2005,Brisbane,Medically treated,50 to 59,Male,Motorcyclist,6
6712,2005,Brisbane,Hospitalised,50 to 59,Male,Passenger,1
7167,2005,Brisbane,Minor injury,50 to 59,Male,Motorcyclist,4
7255,2005,Brisbane,Medically treated,50 to 59,Male,Bicyclist,1
7737,2005,Brisbane,Hospitalised,50 to 59,Female,Motorcyclist,3
8537,2005,Brisbane,Hospitalised,50 to 59,Female,Passenger,18
9437,2005,Brisbane,Hospitalised,50 to 59,Male,Motorcyclist,22
9818,2005,Brisbane,Hospitalised,50 to 59,Male,Pedestrian,13
12291,2005,Brisbane,Minor injury,50 to 59,Female,Passenger,22
14225,2005,Brisbane,Minor injury,50 to 59,Male,Passenger,4
14825,2005,Brisbane,Hospitalised,50 to 59,Male,Bicyclist,7
14826,2005,Brisbane,Minor injury,50 to 59,Male,Pedestrian,7
15745,2005,Brisbane,Medically treated,50 to 59,Female,Bicyclist,3
17040,2005,Brisbane,Minor injury,50 to 59,Male,Driver,53
17660,2005,Brisbane,Medically treated,50 to 59,Female,Motorcyclist,1
17930,2005,Brisbane,Medically treated,50 to 59,Female,Driver,127
18512,2005,Brisbane,Minor injury,50 to 59,Male,Bicyclist,3
18514,2005,Brisbane,Minor injury,50 to 59,Female,Pedestrian,2
19232,2005,Brisbane,Fatality,50 to 59,Male,Driver,1
19737,2005,Brisbane,Medically treated,50 to 59,Female,Passenger,41
20357,2005,Brisbane,Medically treated,50 to 59,Male,Driver,79
20370,2005,Brisbane,Hospitalised,50 to 59,Female,Pedestrian,6
824,2005,Brisbane,Medically treated,60 to 74,Male,Driver,37
1288,2005,Brisbane,Minor injury,60 to 74,Male,Motorcyclist,2
2575,2005,Brisbane,Hospitalised,60 to 74,Female,Bicyclist,1
2596,2005,Brisbane,Fatality,60 to 74,Female,Pedestrian,1
2948,2005,Brisbane,Medically treated,60 to 74,Female,Passenger,23
3858,2005,Brisbane,Hospitalised,60 to 74,Female,Passenger,16
5735,2005,Brisbane,Hospitalised,60 to 74,Male,Driver,37
6909,2005,Brisbane,Minor injury,60 to 74,Female,Passenger,16
8279,2005,Brisbane,Hospitalised,60 to 74,Male,Bicyclist,1
8527,2005,Brisbane,Medically treated,60 to 74,Female,Driver,50
9601,2005,Brisbane,Hospitalised,60 to 74,Male,Pedestrian,6
10266,2005,Brisbane,Hospitalised,60 to 74,Male,Motorcyclist,1
10635,2005,Brisbane,Minor injury,60 to 74,Male,Pedestrian,1
11987,2005,Brisbane,Minor injury,60 to 74,Male,Passenger,7
12010,2005,Brisbane,Minor injury,60 to 74,Male,Driver,34
12298,2005,Brisbane,Hospitalised,60 to 74,Male,Passenger,6
13181,2005,Brisbane,Medically treated,60 to 74,Male,Pedestrian,5
13661,2005,Brisbane,Hospitalised,60 to 74,Female,Motorcyclist,1
13888,2005,Brisbane,Medically treated,60 to 74,Female,Bicyclist,1
14223,2005,Brisbane,Minor injury,60 to 74,Female,Driver,19
14234,2005,Brisbane,Medically treated,60 to 74,Male,Passenger,8
15343,2005,Brisbane,Hospitalised,60 to 74,Female,Driver,38
16790,2005,Brisbane,Medically treated,60 to 74,Female,Pedestrian,1
17654,2005,Brisbane,Medically treated,60 to 74,Male,Motorcyclist,3
18808,2005,Brisbane,Fatality,60 to 74,Male,Pedestrian,2
19266,2005,Brisbane,Hospitalised,60 to 74,Male,Other,1
20351,2005,Brisbane,Hospitalised,60 to 74,Female,Pedestrian,7
21385,2005,Brisbane,Medically treated,60 to 74,Unknown,Passenger,1
21450,2005,Brisbane,Medically treated,60 to 74,Male,Bicyclist,2
1277,2005,Brisbane,Hospitalised,75 and over,Female,Driver,18
2031,2005,Brisbane,Fatality,75 and over,Female,Pedestrian,1
2949,2005,Brisbane,Medically treated,75 and over,Female,Passenger,25
3865,2005,Brisbane,Hospitalised,75 and over,Male,Pedestrian,3
4563,2005,Brisbane,Medically treated,75 and over,Female,Pedestrian,2
4637,2005,Brisbane,Fatality,75 and over,Male,Driver,2
8050,2005,Brisbane,Fatality,75 and over,Female,Driver,1
9819,2005,Brisbane,Minor injury,75 and over,Male,Driver,9
10453,2005,Brisbane,Medically treated,75 and over,Male,Pedestrian,1
